"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2020","2.030","2.030","2.030","2.030","","0.25%"
"05/07/2020","2.025","2.025","2.025","2.025","","0.25%"
"05/06/2020","2.020","2.020","2.020","2.020","","0.00%"
"05/05/2020","2.020","2.020","2.020","2.020","","1.00%"
"05/04/2020","2.000","2.000","2.000","2.000","","0.00%"
"05/01/2020","2.000","2.000","2.000","2.000","","-0.25%"
"04/30/2020","2.005","2.005","2.005","2.005","","0.25%"
"04/29/2020","2.000","2.000","2.000","2.000","","0.00%"
"04/28/2020","2.000","2.000","2.000","2.000","","0.25%"
"04/27/2020","1.995","1.995","1.995","1.995","","-1.48%"
"04/24/2020","2.025","2.025","2.025","2.025","","-1.22%"
"04/23/2020","2.050","2.050","2.050","2.050","","-1.20%"
"04/22/2020","2.075","2.075","2.075","2.075","","-1.43%"
"04/21/2020","2.105","2.105","2.105","2.105","","-7.27%"
"04/20/2020","2.270","2.270","2.270","2.270","","-3.20%"
"04/17/2020","2.345","2.345","2.345","2.345","","-5.06%"
"04/16/2020","2.470","2.470","2.470","2.470","","-11.63%"
"04/15/2020","2.795","2.795","2.795","2.795","","-0.18%"
"04/14/2020","2.800","2.800","2.800","2.800","","-0.18%"
"04/13/2020","2.805","2.805","2.805","2.805","","0.00%"
"04/09/2020","2.805","2.805","2.805","2.805","","-0.18%"
"04/08/2020","2.810","2.810","2.810","2.810","","0.18%"
"04/07/2020","2.805","2.805","2.805","2.805","","-1.58%"
"04/06/2020","2.850","2.850","2.850","2.850","","0.18%"
"04/03/2020","2.845","2.845","2.845","2.845","","-0.52%"
"04/02/2020","2.860","2.860","2.860","2.860","","-0.35%"
"04/01/2020","2.870","2.870","2.870","2.870","","-0.17%"
"03/31/2020","2.875","2.875","2.875","2.875","","-0.17%"
"03/30/2020","2.880","2.880","2.880","2.880","","-3.19%"
"03/27/2020","2.975","2.975","2.975","2.975","","0.00%"
"03/26/2020","2.975","2.975","2.975","2.975","","0.68%"
"03/25/2020","2.955","2.955","2.955","2.955","","-6.19%"
"03/24/2020","3.150","3.150","3.150","3.150","","-3.08%"
"03/23/2020","3.250","3.250","3.250","3.250","","-5.25%"
"03/20/2020","3.430","3.430","3.430","3.430","","0.88%"
"03/19/2020","3.400","3.400","3.400","3.400","","0.00%"
"03/18/2020","3.400","3.400","3.400","3.400","","-1.59%"
"03/17/2020","3.455","3.455","3.455","3.455","","1.47%"
"03/16/2020","3.405","3.405","3.405","3.405","","8.44%"
"03/13/2020","3.140","3.140","3.140","3.140","","0.00%"
"03/12/2020","3.140","3.140","3.140","3.140","","0.32%"
"03/11/2020","3.130","3.130","3.130","3.130","","0.48%"
"03/10/2020","3.115","3.115","3.115","3.115","","0.48%"
"03/09/2020","3.100","3.100","3.100","3.100","","-0.48%"
"03/06/2020","3.115","3.115","3.115","3.115","","0.97%"
"03/05/2020","3.085","3.085","3.085","3.085","","0.33%"
"03/04/2020","3.075","3.075","3.075","3.075","","0.00%"
"03/03/2020","3.075","3.075","3.075","3.075","","0.82%"
"03/02/2020","3.050","3.050","3.050","3.050","","3.04%"
"02/28/2020","2.960","2.960","2.960","2.960","","-0.50%"
"02/27/2020","2.975","2.975","2.975","2.975","","-1.00%"
"02/26/2020","3.005","3.005","3.005","3.005","","3.62%"
"02/25/2020","2.900","2.900","2.900","2.900","","0.87%"
"02/24/2020","2.875","2.875","2.875","2.875","","-4.01%"
"02/21/2020","2.995","2.995","2.995","2.995","","0.67%"
"02/20/2020","2.975","2.975","2.975","2.975","","-0.67%"
"02/19/2020","2.995","2.995","2.995","2.995","","0.67%"
"02/18/2020","2.975","2.975","2.975","2.975","","-15.48%"
"02/14/2020","3.520","3.520","3.520","3.520","","-0.14%"
"02/13/2020","3.525","3.525","3.525","3.525","","0.00%"
"02/12/2020","3.525","3.525","3.525","3.525","","0.00%"
"02/11/2020","3.525","3.525","3.525","3.525","","0.14%"
"02/10/2020","3.520","3.520","3.520","3.520","","-1.40%"
"02/07/2020","3.570","3.570","3.570","3.570","","0.42%"
"02/06/2020","3.555","3.555","3.555","3.555","","-1.25%"
"02/05/2020","3.600","3.600","3.600","3.600","","-2.70%"
"02/04/2020","3.700","3.700","3.700","3.700","","-0.80%"
"02/03/2020","3.730","3.730","3.730","3.730","","-7.21%"
"01/31/2020","4.020","4.020","4.020","4.020","","3.74%"
"01/30/2020","3.875","3.875","3.875","3.875","","-0.64%"
"01/29/2020","3.900","3.900","3.900","3.900","","-2.50%"
"01/28/2020","4.000","4.000","4.000","4.000","","0.00%"
"01/27/2020","4.000","4.000","4.000","4.000","","0.00%"
"01/24/2020","4.000","4.000","4.000","4.000","","0.00%"
"01/23/2020","4.000","4.000","4.000","4.000","","-0.50%"
"01/22/2020","4.020","4.020","4.020","4.020","","-1.35%"
"01/21/2020","4.075","4.075","4.075","4.075","","-1.33%"
"01/17/2020","4.130","4.130","4.130","4.130","","-1.20%"
"01/16/2020","4.180","4.180","4.180","4.180","","-21.06%"
"01/15/2020","5.295","5.295","5.295","5.295","","-0.09%"
"01/14/2020","5.300","5.300","5.300","5.300","","0.00%"
"01/13/2020","5.300","5.300","5.300","5.300","","0.00%"
"01/10/2020","5.300","5.300","5.300","5.300","","0.00%"
"01/09/2020","5.300","5.300","5.300","5.300","","-0.19%"
"01/08/2020","5.310","5.310","5.310","5.310","","0.19%"
"01/07/2020","5.300","5.300","5.300","5.300","","-0.28%"
"01/06/2020","5.315","5.315","5.315","5.315","","-1.30%"
"01/03/2020","5.385","5.385","5.385","5.385","","2.57%"
"01/02/2020","5.250","5.250","5.250","5.250","","-0.94%"
"12/31/2019","5.300","5.300","5.300","5.300","","0.95%"
"12/30/2019","5.250","5.250","5.250","5.250","","0.48%"
"12/27/2019","5.225","5.225","5.225","5.225","","-0.48%"
"12/26/2019","5.250","5.250","5.250","5.250","","-0.10%"
"12/24/2019","5.255","5.255","5.255","5.255","","-0.85%"
"12/23/2019","5.300","5.300","5.300","5.300","","-2.75%"
"12/20/2019","5.450","5.450","5.450","5.450","","-1.36%"
"12/19/2019","5.525","5.525","5.525","5.525","","-0.45%"
"12/18/2019","5.550","5.550","5.550","5.550","","0.45%"
"12/17/2019","5.525","5.525","5.525","5.525","","2.50%"
"12/16/2019","5.390","5.390","5.390","5.390","","-4.52%"
"12/13/2019","5.645","5.645","5.645","5.645","","0.09%"
"12/12/2019","5.640","5.640","5.640","5.640","","0.18%"
"12/11/2019","5.630","5.630","5.630","5.630","","0.00%"
"12/10/2019","5.630","5.630","5.630","5.630","","0.36%"
"12/09/2019","5.610","5.610","5.610","5.610","","-0.09%"
"12/06/2019","5.615","5.615","5.615","5.615","","-0.35%"
"12/05/2019","5.635","5.635","5.635","5.635","","0.00%"
"12/04/2019","5.635","5.635","5.635","5.635","","0.00%"
"12/03/2019","5.635","5.635","5.635","5.635","","0.63%"
"12/02/2019","5.600","5.600","5.600","5.600","","-0.53%"
"11/29/2019","5.630","5.630","5.630","5.630","","-1.66%"
"11/27/2019","5.725","5.725","5.725","5.725","","-0.95%"
"11/26/2019","5.780","5.780","5.780","5.780","","-1.20%"
"11/25/2019","5.850","5.850","5.850","5.850","","-1.27%"
"11/22/2019","5.925","5.925","5.925","5.925","","0.68%"
"11/21/2019","5.885","5.885","5.885","5.885","0.23K","-1.09%"
"11/20/2019","5.950","5.950","5.950","5.950","0.15K","0.76%"
"11/19/2019","5.905","5.905","5.905","5.905","","-0.76%"
"11/18/2019","5.950","5.950","5.950","5.950","0.11K","-2.14%"
"11/15/2019","6.080","6.080","6.080","6.080","","0.00%"
"11/14/2019","6.080","6.080","6.080","6.080","","0.00%"
"11/13/2019","6.080","6.080","6.080","6.080","","1.00%"
"11/12/2019","6.020","6.020","6.020","6.020","","-0.99%"
"11/11/2019","6.080","6.080","6.080","6.080","","-0.90%"
"11/08/2019","6.135","6.135","6.135","6.135","","0.66%"
"11/07/2019","6.095","6.095","6.095","6.095","","-0.97%"
"11/06/2019","6.155","6.155","6.155","6.155","","-0.97%"
"11/05/2019","6.215","6.215","6.215","6.215","","-1.35%"
"11/04/2019","6.300","6.300","6.300","6.300","","-0.40%"
"11/01/2019","6.325","6.325","6.325","6.325","0.25K","1.36%"
"10/31/2019","6.240","6.240","6.240","6.240","","1.38%"
"10/30/2019","6.155","6.155","6.155","6.155","","-2.30%"
"10/29/2019","6.300","6.300","6.300","6.300","","-0.40%"
"10/28/2019","6.325","6.325","6.325","6.325","","-1.79%"
"10/25/2019","6.440","6.440","6.440","6.440","","-1.98%"
"10/24/2019","6.570","6.570","6.570","6.570","","-0.68%"
"10/23/2019","6.615","6.615","6.615","6.615","","-1.71%"
"10/22/2019","6.730","6.730","6.730","6.730","","-1.82%"
"10/21/2019","6.855","6.855","6.855","6.855","","-1.01%"
"10/18/2019","6.925","6.925","6.925","6.925","","-1.63%"
"10/17/2019","7.040","7.040","7.040","7.040","0.03K","0.72%"
"10/16/2019","6.990","6.990","6.990","6.990","","20.00%"
"10/15/2019","5.825","5.825","5.825","5.825","","0.00%"
"10/14/2019","5.825","5.825","5.825","5.825","","0.09%"
"10/11/2019","5.820","5.820","5.820","5.820","","0.00%"
"10/10/2019","5.820","5.820","5.820","5.820","","0.43%"
"10/09/2019","5.795","5.795","5.795","5.795","","-0.09%"
"10/08/2019","5.800","5.800","5.800","5.800","","0.87%"
"10/07/2019","5.750","5.750","5.750","5.750","","0.44%"
